COMMODITY (PHP/KG),,_1,_2,_3
MARKET,"Well-milledRice
(Local)",Tilapia,"Galunggong
(Local)",*Egg(Medium)
AgoraPublicMarket/SanJuan,45.00-48.00,160.00,360.00,8.00
Balintawak(Cloverleaf)Market,48.00-50.00,130.00-140.00,NOTAVAILABLE,7.00-8.00
BicutanMarket,47.00-48.00,140.00-160.00,NOTAVAILABLE,7.30-8.00
CartimarMarket,48.00-52.00,170.00-180.00,350.00,8.50-8.75
CommonwealthMarket/QuezonCity,45.00-50.00,130.00-130.00,300.00-320.00,7.00-8.01
DagonoyMarket,45.00-46.00,160.00,260.00,8.00-8.50
GuadalupePublicMarket/Makati,45.00-50.00,150.00-160.00,300.00-320.00,7.50-8.00
KamuningPublicMarket,38.00-40.00,160.00,320.00,8.00-8.50
LaHuertaMarket/Parañaque,NOTAVAILABLE,160.00,NOTAVAILABLE,7.50
NewLasPiñasCityPublicMarket,50.00-52.00,150.00-160.00,NOTAVAILABLE,8.20-8.50
MalabonCentralMarket,45.00-50.00,140.00-180.00,NOTAVAILABLE,7.20-8.00
MandaluyongPublicMarket,43.00-45.00,160.00,350.00-350.00,8.00-8.50
MarikinaPublicMarket,45.00,120.00-140.00,280.00-290.00,8.80-9.00
MaypajoPublicMarket/Caloocan,50.00,140.00-160.00,NOTAVAILABLE,8.80-9.00
MegaQ-mart/QuezonCity,45.00-48.00,130.00-140.00,300.00-320.00,7.00-8.00
PamilihangLungsodngMuntinlupa,45.00-48.00,140.00-150.00,340.00-360.00,7.20-8.00
MuñozMarket/QuezonCity,48.00-53.00,150.00-160.00,300.00,7.00-9.00
MurphyPublicMarket,45.00-48.00,150.00-160.00,340.00-360.00,8.00
NavotasAgoraMarket,40.00-45.00,150.00-160.00,300.00,7.20-8.00
NewMarulasPublicMarket/Valenzuela,46.00-47.00,170.00-180.00,NOTAVAILABLE,7.60-8.00
ObreroMarket,51.00-53.00,160.00,300.00,8.00
PacoMarket,40.00-42.00,160.00,260.00,7.80-8.50
PasayCityMarket,35.00-50.00,130.00-140.00,280.00,8.25-8.50
PasigCityMegaMarket,40.00-46.00,120.00-130.00,260.00-280.00,8.50
PaterosMarket,NOTAVAILABLE,160.00,NOTAVAILABLE,7.00-7.50
PritilMarket/Manila,45.00-50.00,150.00,300.00,7.50-8.00
QuintaMarket/Manila,45.00-48.00,150.00-160.00,320.00,7.50-8.00
SanAndresMarket/Manila,45.00-48.00,160.00,320.00-340.00,8.00-8.50
TaguigPeople'sMarket,45.00-49.00,150.00-160.00,NOTAVAILABLE,7.50-8.00
TrabajoMarket,52.00-54.00,150.00-160.00,280.00-320.00,7.50-8.00
