COMMODITY (PHP/KG),,_1,_2,_3,_4,_5
MARKET,Ampalaya,Eggplant,Tomato,,Cabbage,RedOnion(Local)
AgoraPublicMarket/SanJuan,120.00-130.00,70.00-80.00,60.00,,80.00,160.00-200.00
Balintawak(Cloverleaf)Market,80.00-130.00,60.00-80.00,30.00-40.00,,40.00-60.00,150.00-160.00
BicutanMarket,80.00-110.00,65.00-80.00,35.00,-40.00,50.00-70.00,170.00-180.00
CartimarMarket,110.00-140.00,80.00-110.00,55.00-80.00,,35.00-50.00,150.00-190.00
CommonwealthMarket/QuezonCity,90.00-120.00,60.00-80.00,25.00-30.00,,45.00-70.00,140.00-180.00
DagonoyMarket,100.00-120.00,80.00-80.00,50.00,,80.00,180.00-200.00
GuadalupePublicMarket/Makati,120.00-140.00,60.00-100.00,50.00,-70.00,60.00-100.00,170.00-190.00
KamuningPublicMarket,120.00-140.00,70.00-100.00,40.00-60.00,,70.00-90.00,180.00
LaHuertaMarket/Parañaque,100.00-140.00,70.00-80.00,40.00-60.00,,80.00-90.00,180.00-220.00
NewLasPiñasCityPublicMarket,120.00-130.00,85.00-90.00,60.00,-65.00,80.00-90.00,160.00-170.00
MalabonCentralMarket,100.00-130.00,80.00-100.00,40.00-60.00,,60.00-100.00,150.00-180.00
MandaluyongPublicMarket,120.00-130.00,80.00-90.00,60.00-70.00,,80.00-90.00,180.00-200.00
MarikinaPublicMarket,130.00-140.00,90.00-100.00,50.00,,90.00-100.00,190.00-210.00
MaypajoPublicMarket/Caloocan,130.00-140.00,90.00-100.00,50.00,,90.00-100.00,190.00-170.00
MegaQ-mart/QuezonCity,90.00-140.00,60.00-80.00,40.00,-60.00,70.00-80.00,160.00-200.00
PamilihangLungsodngMuntinlupa,100.00-130.00,70.00-100.00,35.00-40.00,,50.00-80.00,150.00-180.00
MuñozMarket/QuezonCity,100.00-120.00,50.00-70.00,40.00-50.00,,60.00-120.00,170.00-180.00
MurphyPublicMarket,120.00-140.00,70.00-80.00,40.00-60.00,,60.00-80.00,160.00-200.00
NavotasAgoraMarket,100.00-140.00,90.00-100.00,60.00,,80.00-100.00,200.00-240.00
NewMarulasPublicMarket/Valenzuela,120.00-140.00,90.00,60.00-70.00,,80.00-100.00,200.00-240.00
ObreroMarket,140.00-150.00,80.00-100.00,70.00-80.00,,80.00-90.00,180.00-200.00
PacoMarket,100.00,80.00-90.00,50.00,,70.00-70.00,160.00-180.00
PasayCityMarket,100.00-120.00,70.00-100.00,40.00-60.00,,40.00-50.00,150.00-160.00
PasigCityMegaMarket,130.00-140.00,90.00-100.00,40.00-50.00,,90.00-100.00,190.00-200.00
PaterosMarket,120.00-140.00,90.00-120.00,60.00,-80.00,80.00-90.00,200.00-230.00
PritilMarket/Manila,100.00-120.00,80.00-90.00,50.00,-60.00,80.00-90.00,180.00-220.00
QuintaMarket/Manila,80.00-130.00,80.00-90.00,40.00-60.00,,60.00-90.00,180.00-200.00
SanAndresMarket/Manila,120.00-140.00,80.00-90.00,60.00-80.00,,70.00-90.00,180.00-200.00
TaguigPeople'sMarket,120.00-160.00,80.00-90.00,40.00,-60.00,70.00-100.00,190.00-200.00
TrabajoMarket,130.00-140.00,90.00-100.00,70.00,-80.00,80.00-90.00,180.00-200.00
