Market,Sugar(Washed),FreshPork Kasim/Pigue,FreshPorkLiempo,FreshWhole Chicken
1.1,81.0,390.0,445.0,200.0
1.2,79.0,372.5,410.0,175.0
1.3,85.0,360.0,385.0,172.5
1.4,87.5,365.0,470.0,205.0
2.1,80.0,370.0,390.0,165.0
2.2,82.5,380.0,420.0,210.0
3.1,87.5,395.0,450.0,200.0
3.2,85.5,395.0,470.0,207.5
4.1,87.5,385.0,415.0,205.0
4.2,81.0,372.5,422.5,182.5
4.3,83.5,375.0,445.0,185.0
4.4,85.0,395.0,450.0,220.0
4.5,83.0,375.0,425.0,205.0
5.1,83.0,390.0,425.0,205.0
6.1,82.5,370.0,450.0,190.0
6.2,77.0,370.0,450.0,185.0
7.1,85.0,355.0,435.0,190.0
7.2,81.5,390.0,440.0,200.0
7.3,85.0,400.0,440.0,195.0
8.1,85.0,410.0,445.0,225.0
8.2,79.5,390.0,450.0,212.5
8.3,77.5,375.0,420.0,200.0
8.4,90.0,365.0,430.0,195.0
8.5,79.0,375.0,425.0,180.0
8.6,87.0,370.0,430.0,200.0
9.1,85.0,390.0,465.0,220.0
10.1,87.5,400.0,425.0,215.0
11.1,87.5,395.0,450.0,215.0
11.2,79.5,380.0,395.0,182.5
11.3,76.5,405.0,455.0,225.0
